full_name,pos,age,team,games,games_started,mpg,fg,fga,fgp,threeP,threePA,threePP,twoP,twoPA,twoPP,efg,ft,fta,ftp,orb,drb,rpg,apg,spg,bpg,tpg,fouls,ppg
Marvin Bagley III,PF,22,SAC,23,10,20.9,3.1,7.5,0.419,0.5,2.2,0.22,2.7,5.3,0.5,0.451,1.3,1.7,0.75,2.4,4.6,7,0.6,0.3,0.3,0.7,1.6,8
OG Anunoby,SF,24,TOR,23,23,36,7,16,0.439,2.7,7.3,0.363,4.4,8.7,0.502,0.522,2.6,3.2,0.808,1.4,3.7,5.1,2.3,1.6,0.4,1.6,2.8,19.3
Ziaire Williams,SF,20,MEM,24,3,19,2.4,5.9,0.404,1,3.5,0.294,1.3,2.3,0.571,0.493,0.3,0.4,0.8,0.3,1.2,1.4,0.8,0.5,0.3,0.6,1.8,6.1
P.J. Washington,PF,23,CHO,24,3,25,3.7,8.1,0.456,2,4.6,0.423,1.8,3.5,0.5,0.577,1.3,1.8,0.698,1.3,4.2,5.5,2.4,0.8,1.1,1.4,2.5,10.6
Kemba Walker,PG,31,NYK,24,24,27.3,4.7,11.4,0.414,2.4,6,0.403,2.3,5.4,0.426,0.52,1.8,2.1,0.84,0.5,3.1,3.5,3.6,0.8,0.2,1.4,1.2,13.6
Daniel Theis,C,29,HOU,24,21,23.4,3.4,7.2,0.468,0.9,3.2,0.289,2.5,4,0.608,0.532,1.1,1.6,0.684,1.3,4,5.3,0.8,0.5,0.7,1.3,2.4,8.8
T.J. McConnell,PG,29,IND,24,6,24.2,3.8,7.5,0.503,0.3,1,0.28,3.5,6.5,0.538,0.522,0.5,0.6,0.8,0.8,2.5,3.3,4.8,1,0.4,1.2,1.8,8.4
CJ McCollum,SG,30,POR,24,24,35.3,8,18.8,0.424,3.2,8.2,0.393,4.8,10.6,0.447,0.509,1.5,2.1,0.7,1.1,3,4.1,4.5,1.1,0.7,1.9,2.1,20.6
Kira Lewis Jr.,PG,20,NOP,24,0,14.2,2.5,6.1,0.404,0.5,2.4,0.224,1.9,3.7,0.523,0.449,0.4,0.5,0.833,0.4,1.3,1.6,2,0.5,0,1.1,0.7,5.9
Isaiah Joe,SG,22,PHI,24,0,12.3,1.3,3.8,0.348,1,2.8,0.338,0.4,1,0.375,0.473,0.6,0.6,0.933,0.1,1.3,1.4,0.8,0.2,0.1,0.3,0.8,4.2
Jerami Grant,PF,27,DET,24,24,33.2,6.6,15.9,0.414,1.8,5.3,0.331,4.8,10.6,0.455,0.469,5.2,6.1,0.849,1,3.9,4.8,2.6,1.1,1.1,2.1,2.3,20.1
Enes Freedom,C,29,BOS,24,1,12.8,1.9,3.5,0.542,0,0.2,0.25,1.8,3.3,0.557,0.548,0.7,0.8,0.8,2.2,3.2,5.4,0.2,0.2,0.5,0.6,1.3,4.5
Terence Davis,SG,24,SAC,24,7,16.6,3.3,8.2,0.401,1.3,4.5,0.294,2,3.7,0.534,0.482,1,1.2,0.821,0.3,2.7,3,1.1,0.7,0.4,1.2,2.3,8.9
Moses Brown,C,22,DAL,24,1,6.8,1.1,2,0.563,0,0,,1.1,2,0.563,0.563,1.1,1.8,0.628,0.6,1.8,2.4,0,0.1,0.3,0.6,1.2,3.4
Kent Bazemore,SF,32,LAL,24,14,17,1.4,4.2,0.327,0.8,2.3,0.333,0.6,2,0.319,0.416,0.4,0.5,0.769,0.3,1.7,2,0.9,0.8,0.3,0.3,2.1,3.9
Pascal Siakam,PF,27,TOR,25,25,35.7,7.9,16.6,0.475,1.1,3.5,0.318,6.8,13.1,0.517,0.508,3.8,5.2,0.731,2,6.3,8.3,4.6,1,0.8,2.5,3.4,20.7
Justin Robinson,PG,24,TOT,25,0,12.2,1.1,3.7,0.301,0.7,2.4,0.295,0.4,1.3,0.313,0.398,0.2,0.3,0.5,0.2,0.7,0.8,1.3,0.4,0,0.7,1.1,3.1
Moses Moody,SG,19,GSW,25,1,7,0.8,2.2,0.357,0.2,1.2,0.129,0.6,1,0.64,0.393,0.3,0.4,0.727,0.2,0.9,1,0.3,0.1,0.2,0.2,0.4,2.1
Garrison Mathews,SG,25,HOU,25,16,28.6,3.5,8.3,0.418,2.6,6.9,0.37,0.9,1.4,0.657,0.572,2.2,2.8,0.797,0.6,3,3.6,0.9,0.7,0.4,0.7,3.1,11.7
Maxi Kleber,PF,30,DAL,25,8,24.7,2.6,6.2,0.422,1.7,4.6,0.374,0.9,1.6,0.564,0.562,0.8,1,0.731,1.2,4.9,6.1,1.1,0.4,0.9,0.7,2.2,7.7
Damian Jones,C,26,SAC,25,4,14.2,2.2,3.6,0.618,0.1,0.4,0.273,2.1,3.1,0.667,0.635,1.3,1.8,0.717,1.5,2.7,4.2,0.8,0.1,0.4,1,2,5.8
Talen Horton-Tucker,SG,21,LAL,25,15,28,4.2,10.2,0.408,0.8,3.3,0.244,3.4,6.9,0.486,0.447,1.8,2.2,0.821,0.8,3.2,4,2.8,1,0.4,1.6,2.8,11
Josh Green,SG,21,DAL,25,0,11.7,1.7,3,0.573,0.2,0.6,0.333,1.5,2.4,0.633,0.607,0.5,0.7,0.765,0.6,1.4,2,1.1,0.5,0.2,0.4,1.4,4.2
Taj Gibson,C,36,NYK,25,3,19,1.4,2.9,0.493,0.2,0.6,0.286,1.3,2.4,0.542,0.521,0.6,0.8,0.762,1.6,2.9,4.6,0.8,0.5,0.9,0.7,2.5,3.7
Rudy Gay,PF,35,UTA,25,0,19.9,3.2,7.4,0.429,1.6,4.2,0.377,1.6,3.1,0.5,0.538,1.3,1.6,0.805,1,3.7,4.6,1.1,0.5,0.3,0.8,1.9,9.2
Luka Doncic,PG,22,DAL,25,25,34.8,9.1,20.8,0.438,2.6,8,0.318,6.6,12.8,0.514,0.5,4,5.6,0.721,0.7,7.6,8.2,9,1.2,0.4,4.6,2.4,24.8
Brandon Boston Jr.,SG,20,LAC,25,0,15.8,2.4,6.6,0.36,0.6,2.3,0.276,1.7,4.2,0.406,0.409,1.4,1.6,0.85,0.3,1.9,2.2,0.8,0.6,0.2,0.7,0.7,6.7
Dylan Windler,SF,25,CLE,26,0,10.4,1,2.2,0.431,0.6,1.5,0.4,0.3,0.7,0.5,0.569,0.1,0.2,0.75,0.5,1.5,2,0.9,0.3,0.1,0.4,1.1,2.7
Derrick Rose,PG,33,NYK,26,4,24.5,4.7,10.5,0.445,1.4,3.5,0.402,3.3,7,0.467,0.513,1.2,1.2,0.968,0.8,2.2,3,4,0.8,0.5,1.5,0.6,12
kristaps Porzingis,PF,26,DAL,26,26,30.4,7.2,16,0.451,1.5,5.5,0.282,5.7,10.5,0.538,0.499,4.7,5.3,0.883,2.2,5.8,8,2.3,0.8,1.7,1.5,2.3,20.6
Kevin Porter Jr.,PG,21,HOU,26,26,29.7,4.2,11.7,0.357,1.8,5.6,0.322,2.4,6.1,0.39,0.434,2,3.3,0.609,0.8,3.5,4.3,5.8,1.3,0.3,3.8,2.5,12.2
Josh Okogie,SG,23,MIN,26,6,13.6,0.9,2.5,0.354,0.3,1.2,0.267,0.6,1.3,0.429,0.415,0.7,1.2,0.613,0.9,1.3,2.2,0.7,0.6,0.3,0.6,1.3,2.8
Doug McDermott,PF,30,SAS,26,26,24.6,4.3,9.3,0.465,2.1,5.2,0.41,2.2,4.2,0.532,0.578,0.6,0.8,0.727,0.4,2.2,2.6,1.3,0.2,0.1,0.7,1.4,11.4
Timothe Luwawu-Cabarrot,SF,26,ATL,26,11,14.6,1.6,4.1,0.387,1,2.8,0.356,0.6,1.3,0.455,0.509,0.6,0.7,0.833,0.3,1.3,1.7,0.8,0.4,0.1,0.4,1.5,4.7
Paul George,SF,31,LAC,26,26,35.5,9,21.4,0.421,2.7,8.3,0.323,6.3,13,0.484,0.484,4,4.5,0.88,0.4,6.7,7.1,5.5,2,0.4,4.2,2.5,24.7
Luka Garza,C,23,DET,26,5,12.3,1.9,4.4,0.43,0.5,1.5,0.308,1.4,2.9,0.493,0.482,1,1.6,0.643,1.8,1.3,3.1,0.6,0.3,0.2,0.6,1.7,5.3
Malachi Flynn,PG,23,TOR,26,1,8.8,1.2,3.3,0.349,0.5,1.7,0.273,0.7,1.6,0.429,0.419,0.2,0.3,0.571,0.2,0.8,1.1,1,0.4,0.1,0.3,0.9,2.9
Alex Caruso,SG,27,CHI,26,9,28,2.8,6.3,0.448,1.1,3,0.364,1.7,3.3,0.523,0.534,1.7,2,0.83,1,2.8,3.7,4,2,0.3,1.5,2.5,8.4
Malcolm Brogdon,PG,29,IND,26,26,34.3,6.7,15,0.446,1.8,5.7,0.311,4.9,9.3,0.529,0.505,3.8,4.5,0.855,0.9,4.4,5.3,6.1,0.9,0.4,2.2,2.1,19
Tony Bradley,C,24,CHI,26,7,12.4,1.8,3,0.59,0,0,,1.8,3,0.59,0.59,0.3,0.4,0.727,1.5,3,4.5,0.5,0.2,0.7,0.7,1.3,3.8
Bogdan Bogdanovic,SG,29,ATL,26,24,28.8,4.5,10.8,0.418,2.2,6.1,0.367,2.3,4.7,0.484,0.521,0.9,1.2,0.742,0.3,3.4,3.7,2.5,0.7,0.2,1,1.8,12.1
Deandre Ayton,C,23,PHO,26,26,30.7,7.3,11.6,0.631,0,0.3,0.143,7.3,11.3,0.643,0.633,2.1,3,0.705,2.8,8.1,10.9,1.5,0.7,0.8,1.7,2.2,16.8
Cody Zeller,C,29,POR,27,0,13.1,1.9,3.3,0.567,0,0.1,0,1.9,3.2,0.593,0.567,1.4,1.8,0.776,1.9,2.8,4.6,0.8,0.3,0.2,0.7,2.1,5.2
Lou Williams,PG,35,ATL,27,0,14.4,2.3,6.4,0.366,0.6,2.1,0.304,1.7,4.3,0.397,0.416,1.2,1.4,0.846,0.3,1.3,1.6,1.5,0.6,0.1,0.9,1,6.5
Killian Tillie,C,23,MEM,27,3,13.1,1.3,3.7,0.343,0.8,2.4,0.328,0.5,1.3,0.371,0.449,0.2,0.3,0.625,0.7,1.1,1.8,0.5,0.7,0.5,0.3,1.6,3.5
Lamar Stevens,PF,24,CLE,27,5,14,1.8,4.1,0.441,0.4,1.3,0.324,1.4,2.9,0.494,0.491,0.4,0.7,0.632,0.7,1.4,2.1,0.6,0.3,0.2,0.5,1.4,4.5
Ish Smith,PG,33,CHO,27,1,14.4,2.1,5.1,0.403,0.3,0.7,0.444,1.8,4.5,0.397,0.432,0.3,0.6,0.563,0.1,1.3,1.4,2.8,0.6,0.3,1.1,1,4.8
Isaac Okoro,SF,21,CLE,27,23,28.4,3.3,7.3,0.454,0.9,2.9,0.321,2.4,4.4,0.542,0.518,1.5,2.1,0.719,1.2,2.4,3.6,1.9,0.8,0.3,1.1,2.5,9
Jaylen Nowell,SG,22,MIN,27,0,13.5,3,6.3,0.473,0.7,2.1,0.345,2.2,4.1,0.541,0.533,0.9,1.2,0.719,0.3,1.6,1.9,2,0.6,0.2,0.5,1,7.5
Shake Milton,PG,25,PHI,27,6,24.7,4,9.4,0.429,0.9,2.9,0.316,3.1,6.5,0.48,0.478,1.5,1.8,0.854,0.5,2.5,3,2.8,0.7,0.4,1.1,2.1,10.5
Chimezie Metu,C,24,SAC,27,16,22.8,3.5,8.5,0.409,1,3.8,0.272,2.4,4.7,0.52,0.47,1,1.3,0.778,0.7,5.6,6.3,1,0.9,0.7,0.9,1.4,9
Kelan Martin,SF,26,IND,27,1,16.4,2.6,6.2,0.417,0.8,2.7,0.297,1.8,3.5,0.511,0.482,0.3,0.5,0.692,0.6,1.4,2,0.8,0.5,0.3,0.5,1.3,6.3
Tre Mann,PG,20,OKC,27,2,17,2.8,7.1,0.396,1,2.9,0.354,1.8,4.2,0.425,0.469,0.6,0.9,0.667,0.4,1.8,2.2,0.7,0.5,0.2,0.7,1.5,7.3
Alex Len,C,28,SAC,27,9,17.8,2.8,5.3,0.528,0.2,0.7,0.316,2.6,4.6,0.561,0.549,1.1,1.7,0.674,1.5,3.5,5,1.1,0.3,0.8,1.2,2.9,6.9
James Johnson,PF,34,BRK,27,2,18,2.1,4.3,0.483,0.3,1,0.259,1.8,3.3,0.551,0.513,0.2,0.6,0.353,0.9,2.7,3.6,1.7,0.4,0.4,0.6,2,4.6
Richaun Holmes,C,28,SAC,27,27,26.1,5.3,7.7,0.692,0.1,0.1,0.5,5.3,7.6,0.696,0.697,1.9,2.3,0.806,2.5,6.2,8.7,1.3,0.3,1,1.4,3.1,12.6
Jalen Green,SG,19,HOU,27,27,30.2,5.1,12.6,0.402,2.1,6.4,0.322,3,6.2,0.485,0.484,3,3.7,0.818,0.3,2.7,3,2.1,0.6,0.2,2.6,1.4,15.2
Anthony Davis,C,28,LAL,27,27,35.4,9.3,17.9,0.521,0.4,2.1,0.179,8.9,15.8,0.566,0.531,4.3,6,0.727,2.7,7.1,9.9,2.9,1.2,2,2.2,2.3,23.3
Troy Brown Jr.,SF,22,CHI,27,1,14.7,1.6,3.9,0.415,0.5,1.7,0.311,1.1,2.3,0.492,0.481,0.4,0.6,0.75,0.5,2.3,2.8,1.3,0.7,0.1,0.3,0.8,4.2
Jaylen Brown,SF,25,BOS,27,27,34.8,8.8,19.2,0.459,2.8,7.6,0.368,6,11.7,0.517,0.531,3.8,4.9,0.767,0.9,5.7,6.6,3,1.1,0.5,3.1,2.7,24.2
Cole Anthony,PG,21,ORL,27,27,34,6.8,16.7,0.406,2.7,7.7,0.348,4.1,9,0.455,0.486,3.6,4.2,0.86,0.5,5.6,6.1,5.7,0.9,0.2,2.7,2.6,19.9
Thanasis Antetokounmpo,SF,29,MIL,27,5,12.1,1.4,3,0.457,0,0.4,0.091,1.3,2.6,0.514,0.463,0.6,0.9,0.625,1.1,1.7,2.9,0.7,0.5,0.2,0.6,2,3.3
Cam Thomas,SG,20,BRK,28,1,16.4,2.8,6.7,0.415,0.6,2.6,0.247,2.1,4.1,0.522,0.463,0.8,1,0.815,0.2,2.2,2.4,1.2,0.5,0.1,0.7,0.6,7
Tony Snell,SG,30,POR,28,7,12.4,0.8,2.1,0.356,0.6,1.6,0.37,0.1,0.5,0.308,0.5,0.1,0.1,1,0.3,1.2,1.4,0.6,0.2,0.1,0.3,1.1,2.2
Eric Paschall,PF,25,UTA,28,1,11.3,1.5,3.3,0.451,0.5,1.8,0.286,1,1.5,0.643,0.527,1,1.4,0.718,0.6,1.2,1.8,0.6,0.1,0.1,0.5,0.9,4.4
Aaron Nesmith,SF,22,BOS,28,1,10.7,1.1,3.3,0.344,0.5,2.3,0.234,0.6,1,0.586,0.425,0.3,0.3,0.778,0.3,1.4,1.7,0.4,0.3,0,0.6,1.4,3.1
Jordan McLaughlin,PG,25,MIN,28,2,11.2,0.8,2.6,0.284,0.1,1,0.143,0.6,1.6,0.37,0.311,0.5,0.8,0.682,0.2,0.9,1.1,2.4,0.6,0,0.7,0.5,2.2
Caris LeVert,SG,27,IND,28,28,30.4,6.8,15.8,0.431,1.6,5.1,0.31,5.2,10.7,0.488,0.481,2.6,3.3,0.796,0.6,2.6,3.3,4,1,0.5,1.8,2.1,17.8
Jeremy Lamb,SF,29,IND,28,0,14.6,2.2,6,0.367,1,3,0.333,1.2,3,0.4,0.45,1.6,1.7,0.917,0.4,2.1,2.5,1.3,0.5,0.4,0.5,1.1,7
Jonathan Kuminga,SF,19,GSW,28,2,9.7,1.8,3.9,0.472,0.3,1.2,0.265,1.5,2.6,0.568,0.514,1,1.6,0.6,0.4,1.3,1.7,0.3,0.4,0.1,0.7,1.3,4.9
DeAndre Jordan,C,33,LAL,28,18,13,2,3,0.675,0,0,,2,3,0.675,0.675,0.4,0.6,0.588,1.6,4,5.6,0.4,0.4,0.9,0.7,1.7,4.4
Maurice Harkless,SF,28,SAC,28,14,18.8,1.6,3.6,0.44,0.6,2.1,0.276,1,1.5,0.667,0.52,0.3,0.5,0.692,0.2,2.1,2.3,0.5,0.4,0.5,0.6,1.6,4
Danny Green,SF,34,PHI,28,21,24.3,2.3,5.6,0.408,1.8,4.8,0.378,0.5,0.8,0.591,0.57,0.3,0.3,1,0.6,2,2.6,1.1,1.4,0.9,0.9,1.8,6.7
Joel Embiid,C,27,PHI,28,28,33,8.6,17.9,0.478,1.3,3.3,0.385,7.3,14.7,0.499,0.513,8.6,10.5,0.814,1.9,8.7,10.6,4.4,1.1,1.4,2.8,2.5,27
Wayne Ellington,SG,34,LAL,28,8,20.7,2.3,5.6,0.408,2,5.1,0.392,0.3,0.5,0.571,0.586,0.1,0.2,0.8,0.3,1.5,1.7,0.8,0.5,0.1,0.5,1,6.7
Gorgui Dieng,C,32,ATL,28,1,9.8,1.3,2.7,0.461,0.6,1.4,0.4,0.7,1.3,0.528,0.566,0.6,0.8,0.762,0.9,2.4,3.3,0.9,0.3,0.4,0.6,1.3,3.6
Patrick Beverley,PG,33,MIN,28,24,26.5,3.3,7.8,0.427,1.3,4,0.324,2,3.8,0.533,0.509,1.3,1.8,0.725,1.2,3.3,4.5,5.1,1.1,0.9,1.3,2.9,9.3
Dāvis Bertāns,PF,29,WAS,28,0,15.8,2,5.5,0.368,1.6,4.6,0.346,0.4,0.9,0.48,0.513,1,1,0.931,0.2,1.8,2,0.5,0.4,0.2,0.5,1.7,6.6
Dean Wade,PF,25,CLE,29,16,19.7,1.9,4.3,0.432,0.9,2.7,0.329,1,1.6,0.609,0.536,0.3,0.4,0.769,0.8,2.6,3.4,1.2,0.5,0.1,0.4,1.6,5
Max Strus,SF,25,MIA,29,5,23.3,4,8.6,0.47,2.6,6.3,0.418,1.4,2.3,0.612,0.622,0.9,1.1,0.758,0.3,3.1,3.5,1.2,0.3,0.1,0.7,1.4,11.6
Austin Rivers,SG,29,DEN,29,9,20.5,2.1,5.5,0.384,1.1,3.6,0.311,1,1.9,0.518,0.484,0.4,0.6,0.611,0.4,1.5,1.9,1.1,0.5,0.1,0.8,1.6,5.7
Josh Richardson,SG,28,BOS,29,0,26.1,3.8,8.2,0.456,1.4,3.5,0.406,2.3,4.8,0.493,0.542,1.7,2,0.845,0.6,2.1,2.7,1.4,0.9,0.5,0.8,2.1,10.6
Cedi Osman,SF,26,CLE,29,0,22.9,4,8.8,0.453,2.3,5.7,0.398,1.7,3.1,0.556,0.582,1.2,1.7,0.694,0.4,2.3,2.7,1.8,1,0.3,0.9,1.8,11.4
Damian Lillard,PG,31,POR,29,29,36.4,7.7,19,0.402,3.2,9.8,0.324,4.5,9.2,0.485,0.486,5.5,6.2,0.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,24
Damion Lee,SG,29,GSW,29,2,20.3,3,6.7,0.441,1.2,3.3,0.354,1.8,3.4,0.525,0.528,1.1,1.3,0.865,0.3,2.7,3,1,0.5,0.1,0.6,1.5,8.2
Cory Joseph,PG,30,DET,29,6,22.2,2.6,5.6,0.457,0.9,2.1,0.417,1.7,3.5,0.48,0.534,1.5,1.8,0.846,0.3,1.8,2.1,3.7,0.8,0.2,1.4,1.7,7.5
LeBron James,SF,37,LAL,29,29,36.8,10.8,20.4,0.528,2.9,7.8,0.372,7.9,12.7,0.624,0.599,4.4,5.6,0.785,1.1,6.3,7.4,6.6,1.7,1.1,3.3,2.3,28.9
Bones Hyland,PG,21,DEN,29,0,16.6,2.7,7.7,0.351,1.4,4.7,0.309,1.2,3,0.419,0.446,1,1.1,0.875,0.2,2,2.2,1.6,0.5,0.2,0.9,2,7.8
Jaxson Hayes,C,21,NOP,29,0,13.7,2.4,4.2,0.561,0.1,0.5,0.286,2.2,3.8,0.596,0.577,1.8,2.3,0.773,1.3,2.2,3.5,0.3,0.3,0.6,0.7,1.9,6.7
Isaiah Hartenstein,C,23,LAC,29,0,16.4,3.2,4.9,0.662,0.1,0.1,0.667,3.2,4.8,0.662,0.669,1.1,1.7,0.653,1.8,2.9,4.7,1.9,0.8,1.3,1,2.6,7.7
Javonte Green,SF,28,CHI,29,18,22.2,2.1,4.3,0.496,0.4,1.1,0.364,1.7,3.2,0.543,0.544,1.1,1.4,0.8,1.5,2.7,4.2,1,0.8,0.4,0.6,2.1,5.8
Amir Coffey,SG,24,LAC,29,7,18.4,1.9,4.3,0.448,1,2.7,0.385,0.9,1.6,0.553,0.568,1.3,1.6,0.867,0.3,2.4,2.8,1.3,0.4,0.2,0.3,1.1,6.2
Brandon Clarke,PF,25,MEM,29,0,17.6,4.1,6.3,0.647,0.1,0.5,0.133,4,5.8,0.692,0.652,1.2,1.8,0.654,1.9,3.3,5.2,1.4,0.3,1,0.5,1.7,9.4
LaMarcus Aldridge,C,36,BRK,29,10,22.9,5.7,10.1,0.565,0.4,1.2,0.343,5.3,8.9,0.595,0.586,1.5,1.8,0.846,1.5,4.1,5.6,0.8,0.4,1.1,0.9,1.7,13.3
Precious Achiuwa,C,22,TOR,29,17,24.4,3.3,8.1,0.406,0.3,1.2,0.257,3,6.9,0.432,0.425,1,1.8,0.569,2.3,5.2,7.5,1.4,0.6,0.6,1.1,2.2,7
Matisse Thybulle,SG,24,PHI,30,15,26,2.4,4.9,0.493,0.7,2.5,0.293,1.7,2.4,0.699,0.568,0.3,0.3,0.889,0.5,1.8,2.4,1.1,1.8,1.1,0.8,2.4,5.9
Tristan Thompson,PF,30,SAC,30,3,15.2,2.5,5,0.503,0,0,1,2.5,5,0.5,0.507,1.1,2,0.533,2.4,3,5.4,0.6,0.4,0.4,1,1.7,6.2
Taurean Prince,PF,27,MIN,30,8,14.8,1.6,4.3,0.38,0.9,2.8,0.313,0.8,1.5,0.5,0.481,0.6,0.8,0.739,0.4,1.6,2,0.9,0.4,0.2,0.6,1.5,4.7
Chuma Okeke,PF,23,ORL,30,6,23,2.7,7.6,0.354,1,4.1,0.234,1.7,3.5,0.495,0.417,0.9,1,0.867,0.7,3.7,4.3,1.4,1.3,0.4,0.9,1.4,7.2
Frank Ntilikina,PG,23,DAL,30,5,14.6,1.7,4.7,0.371,0.8,2.4,0.347,0.9,2.3,0.397,0.461,0.6,0.6,1,0.2,1.3,1.5,1.5,0.7,0.1,0.7,1.2,4.9
Ja Morant,PG,22,MEM,30,30,32.4,9.2,18.9,0.489,1.6,4.1,0.379,7.7,14.7,0.52,0.531,4.8,6.3,0.767,1.3,4.4,5.7,6.7,1.3,0.5,3.1,1.3,24.9
Caleb Martin,SF,26,MIA,30,8,22.7,3.4,6.8,0.505,1,2.7,0.37,2.4,4.1,0.593,0.578,1,1.5,0.667,1.1,2.5,3.6,1,0.9,0.6,0.7,1.5,8.9
Derrick Jones Jr.,PF,24,CHI,30,7,17.8,2.4,4.1,0.582,0.5,1.2,0.405,1.9,2.8,0.659,0.643,1.3,1.5,0.848,1.2,2.2,3.5,0.5,0.5,0.8,0.5,2.4,6.5
Killian Hayes,PG,20,DET,30,30,26,2.3,6.7,0.342,0.9,2.9,0.299,1.4,3.8,0.374,0.406,0.8,1,0.862,0.5,2.5,3,3.7,1.2,0.4,1.6,2.5,6.3
Tobias Harris,PF,29,PHI,30,30,34.7,7,15.3,0.455,1.1,3.7,0.295,5.9,11.6,0.507,0.491,3.4,3.9,0.856,1.1,6.4,7.5,3.9,0.5,0.6,1.7,2,18.4
Blake Griffin,PF,32,BRK,30,20,19,2.1,5.9,0.36,0.6,2.8,0.214,1.5,3.1,0.489,0.41,1,1.4,0.721,1.1,3.3,4.5,2,0.5,0.4,0.5,2.1,5.9
Danilo Gallinari,PF,33,ATL,30,1,22.2,3.1,7.6,0.41,1.5,3.9,0.397,1.6,3.7,0.423,0.511,2,2.2,0.938,0.6,3.6,4.2,1.4,0.5,0.2,0.5,1.4,9.8
Trent Forrest,PG,23,UTA,30,2,9.1,0.6,1.2,0.486,0,0.1,0.25,0.6,1.1,0.515,0.5,0.4,0.5,0.786,0.3,1.1,1.4,1.1,0.2,0,0.8,0.5,1.6
Derrick Favors,C,30,OKC,30,12,16,2.3,4.7,0.493,0.1,0.4,0.167,2.3,4.3,0.523,0.5,0.3,0.6,0.556,1.3,3.2,4.6,0.8,0.4,0.2,0.2,1.5,5.1
Bruce Brown,SF,25,BRK,30,17,22.5,3,6.1,0.489,0.3,1,0.333,2.7,5.1,0.519,0.516,0.6,0.8,0.75,1.3,3.2,4.5,1.3,1.2,0.5,0.7,2.7,6.9
Oshae Brissett,SF,23,IND,30,1,18.3,2.4,5.3,0.444,0.9,2.5,0.378,1.4,2.9,0.5,0.531,0.5,0.9,0.571,1.3,2.5,3.8,0.8,0.5,0.3,0.7,1.4,6.2
Omer Yurtseven,C,23,MIA,31,7,14.8,2.4,5,0.468,0,0.2,0.143,2.3,4.8,0.483,0.471,0.8,1.3,0.634,1.8,4.5,6.4,1,0.5,0.5,0.9,1.7,5.6
Justise Winslow,SF,25,LAC,31,1,11.4,1.6,3.6,0.446,0.2,0.8,0.208,1.5,2.8,0.511,0.469,0.3,0.6,0.474,0.6,2.5,3,1.1,0.5,0.4,0.9,1,3.7
Moritz Wagner,C,24,ORL,31,0,11.5,2.1,4.7,0.442,0.9,2.8,0.337,1.2,2,0.59,0.541,1.4,1.7,0.792,0.5,1.8,2.4,0.8,0.2,0.2,0.7,1.9,6.5
Nikola Vučević,C,31,CHI,31,31,33.2,6.7,15.6,0.431,1.7,4.9,0.342,5,10.7,0.471,0.484,0.9,1.4,0.667,2,9.5,11.4,3.4,1.1,1.1,1.5,2.2,16
Xavier Tillman Sr.,PF,23,MEM,31,0,14.5,1.9,4.4,0.434,0.2,1.1,0.182,1.7,3.3,0.515,0.456,0.9,1.4,0.69,1.4,2,3.4,1.2,1.2,0.5,0.7,1.3,4.9
Tomáš Satoranský,SG,30,NOP,31,3,14.9,1,3.3,0.311,0.2,1,0.167,0.9,2.4,0.37,0.335,0.6,0.8,0.76,0.6,1.5,2,2.3,0.5,0,0.7,1,2.8
D'Angelo Russell,PG,25,MIN,31,31,32.9,6.5,16.4,0.398,3,8.5,0.347,3.5,7.8,0.455,0.489,2.6,3.3,0.812,0.4,3.4,3.7,7,0.9,0.5,2.6,2.1,18.6
Nick Richards,C,24,CHO,31,5,9.3,1.6,2.4,0.685,0,0,,1.6,2.4,0.685,0.685,0.8,0.9,0.828,0.9,1.3,2.2,0.4,0.3,0.6,0.6,1.4,4
Payton Pritchard,SG,24,BOS,31,2,13.5,1.8,4.9,0.359,1.1,3.2,0.357,0.6,1.8,0.364,0.474,0.3,0.3,1,0.4,1.5,1.9,1.8,0.2,0.1,0.7,0.9,4.9
Khris Middleton,SF,30,MIL,31,31,31.5,6.4,14.9,0.432,2.3,6.2,0.377,4.1,8.7,0.47,0.51,3.9,4.5,0.884,0.7,4.8,5.5,5.3,1.1,0.2,3.2,2.3,19.1
Romeo Langford,SG,22,BOS,31,5,18.9,1.9,4.6,0.42,0.6,2,0.323,1.3,2.6,0.494,0.49,0.5,0.7,0.652,0.9,2.2,3.1,0.5,0.6,0.4,0.4,1.3,5
Ty Jerome,SG,24,OKC,31,3,14.8,2.6,6.5,0.403,0.9,3.3,0.282,1.7,3.2,0.531,0.475,0.9,1.2,0.806,0.5,1.1,1.5,1.6,0.6,0.1,0.7,1.3,7.1
Josh Jackson,SF,24,DET,31,3,18.7,3,7.1,0.42,0.9,3.1,0.278,2.1,3.9,0.533,0.482,1,1.4,0.705,0.5,2.7,3.3,1.4,0.5,0.4,1.1,1.8,7.8
Dwight Howard,C,36,LAL,31,6,14.7,1.8,3,0.606,0.2,0.3,0.75,1.6,2.8,0.593,0.638,1.2,1.9,0.617,1.7,3.7,5.4,0.6,0.7,0.6,0.8,1.9,5.1
Cade Cunningham,PG,20,DET,31,31,32.4,5.7,14.8,0.386,2.2,6.9,0.322,3.5,7.9,0.441,0.461,1.8,2.1,0.846,0.9,4.8,5.7,5.4,1.3,0.6,3.8,2.9,15.4
